Country,pop_total,pop_under_18,pop_under_5,under_five_mort_male,under_five_mort_female,infant_mort,neonatal_mort,age_5_14_mort_rate,stillbirth_rate,under_5_death,neonatal_deaths,age_5_14_deaths,stillbirth,univ_health,vacc_bcg,vacc_dtp1,vacc_dtp3,vacc_polio3,vacc_mcv1,vacc_mcv2,vacc_hepb3,vacc_hib3,vacc_rota,vacc_pcv3,vacc_pab_tetanus,ado_mort,ado_deaths,vacc_hpv_girls,mothers_cash_benefit,gini_coef,palma_index,vmir,gdp_capita,water_house,sanitation_house,hygiene_house,mat_leave_benefits,pat_leave_benefits,total_unemployement_rate_m,total_unemployement_rate_f,financial_inclusion_m,financial_inclusion_f
Dominican Republic,"11,118","3,626","1,015",36,30,27,23,3,13,"6,799","4,705",641,"2,640",66,99,99,84,83,88,60,83,83,80,71,99,6,"1,101",8,17,43,2.2,0.6,"8,282",97,87,-,Yes,Yes,4,10,58,54
Ecuador,"17,798","5,584","1,492",14,11,11,7,2,9,"3,722","1,989",755,"2,670",80,75,78,72,62,65,58,68,68,60,62,90,4,"1,392",3,7,46,2.5,0.6,"6,184",95,92,51,No,Yes,3,5,60,43
Egypt,"109,262","41,988","12,368",20,18,16,10,4,9,"46,892","24,704","9,740","22,876",70,97,97,96,96,96,96,96,96,-,-,88,6,"11,468",-,100,32,1.2,0.7,"3,019",99,97,100,No,No,7,21,39,27
El Salvador,"6,314","1,967",508,14,11,11,6,4,9,"1,268",618,422,906,76,78,72,79,79,86,71,79,80,78,94,92,7,779,24,11,41,1.9,0.7,"4,187",98,82,-,Yes,Yes,4,4,38,24
Equatorial Guinea,"1,634",722,230,83,70,57,28,15,15,"3,768","1,416",634,758,43,85,77,53,55,53,17,53,53,-,-,60,17,552,-,-,50,-,-,"8,132",-,-,-,No,Yes,8,8,-,-
Eritrea,"3,620","1,712",486,43,33,29,17,7,16,"3,892","1,799",674,"1,704",50,97,97,95,95,93,85,95,95,96,95,99,12,"1,040",-,-,-,-,-,643,-,-,5,No,No,6,7,-,-
Estonia,"1,329",260,71,2,2,2,1,1,2,28,12,15,26,78,90,91,90,89,89,84,84,89,80,-,-,2,30,57,100,31,1.1,0.7,"23,718",100,99,100,Yes,Yes,4,5,-,-
Eswatini,"1,192",493,140,57,48,41,23,11,14,"1,526",670,314,416,58,97,86,77,61,80,69,77,77,85,63,90,11,280,-,14,55,4.1,0.5,"3,895",71,64,-,No,No,21,24,-,-
Ethiopia,"120,283","56,315","17,798",52,41,34,26,7,21,"177,737","101,951","21,616","81,798",38,68,70,65,68,54,46,65,65,65,61,90,11,"29,171",75,-,33,1.5,0.7,856,50,9,20,Yes,Yes,2,3,41,29
Fiji,925,316,90,30,25,23,14,5,9,501,247,88,165,61,99,99,99,99,96,94,99,99,99,99,96,7,113,-,25,37,1.6,0.7,"6,176",94,99,70,Yes,Yes,4,5,-,-
Finland,"5,536","1,036",244,2,2,2,1,1,2,102,60,44,91,83,-,98,89,89,93,93,-,89,80,82,-,2,134,-,100,26,0.9,0.8,"48,771",100,99,100,Yes,Yes,7,6,100,100
France,"64,531","13,568","3,408",5,4,3,3,1,3,"2,985","1,713",564,"2,083",84,-,99,96,96,92,86,91,95,-,92,-,1,"1,081",37,100,29,1.1,0.7,"40,496",100,99,100,Yes,Yes,9,8,97,91
Gabon,"2,341",985,307,44,36,29,19,12,14,"2,512","1,203",629,908,49,86,76,75,69,64,-,75,75,-,-,83,13,617,-,-,38,1.6,0.7,"7,767",85,50,59,Yes,Yes,14,28,-,-
Gambia,"2,640","1,331",412,53,43,34,25,10,21,"4,138","2,221",730,"1,887",48,81,82,82,89,79,67,82,82,79,78,95,12,777,30,-,36,1.5,0.7,778,81,47,-,Yes,Yes,7,12,-,-
Georgia,"3,758",920,261,11,8,8,5,2,6,474,272,96,288,65,96,97,85,85,90,81,85,85,76,82,-,4,177,12,26,36,1.5,0.7,"4,698",97,86,-,Yes,No,13,10,58,64
Germany,"83,409","13,836","3,971",4,3,3,2,1,3,"2,723","1,673",569,"2,115",86,-,98,91,91,97,93,87,90,68,82,-,1,"1,141",47,100,30,1.1,0.8,"46,468",100,99,100,Yes,Yes,4,3,-,-
Ghana,"32,833","14,291","4,306",48,39,33,23,10,21,"39,423","20,641","8,049","19,787",45,99,99,98,98,94,83,98,98,96,98,90,11,"8,053",-,42,44,2.3,0.6,"2,202",86,24,54,No,No,4,4,-,-
Greece,"10,445","1,794",433,4,3,3,2,1,3,299,178,78,245,78,-,99,99,99,97,83,96,99,20,96,-,1,157,-,100,31,1.1,0.7,"19,581",100,99,-,Yes,Yes,14,22,-,-
Grenada,125,35,10,17,15,14,10,4,9,32,20,8,18,70,-,79,72,72,83,79,72,72,-,-,-,4,8,-,85,37,1.6,-,"10,809",-,-,100,No,No,-,-,-,-
Guatemala,"17,608","6,930","1,927",25,21,20,11,3,13,"8,704","4,021","1,311","5,030",57,84,89,79,67,81,72,79,79,64,72,91,8,"3,048",15,18,45,2.4,0.6,"4,620",94,68,-,No,Yes,2,3,46,42
Guinea,"13,532","6,562","2,097",106,91,64,31,18,23,"44,995","14,486","6,529","11,089",37,72,62,47,48,47,-,47,47,-,-,83,19,"5,808",-,-,34,1.3,0.7,963,64,30,-,Yes,No,5,3,27,20
Guinea-Bissau,"2,061",975,295,80,68,50,34,13,31,"4,693","2,197",722,"2,064",37,34,81,67,23,63,-,67,67,72,67,80,16,769,-,-,51,3.3,0.5,697,59,18,75,No,No,3,3,-,-
Guyana,805,275,79,31,24,23,17,5,13,450,276,71,217,74,89,98,91,80,94,83,91,91,93,99,99,8,122,2,30,35,2.4,0.6,"6,610",96,86,-,No,No,12,17,-,-
Haiti,"11,448","4,397","1,277",64,53,45,24,12,18,"15,748","6,540","2,904","4,859",47,73,75,51,51,65,41,51,51,48,51,80,11,"2,689",-,-,61,6.5,0.4,"1,272",67,37,-,No,No,11,16,35,30
Holy See,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Honduras,"10,278","3,784","1,056",18,15,14,10,5,8,"3,570","2,059","1,012","1,797",63,82,82,77,77,81,75,77,77,80,77,99,7,"1,500",53,-,49,3.1,0.6,"2,575",96,84,-,No,No,5,7,-,-
Hungary,"9,710","1,707",468,4,4,3,2,1,4,369,191,88,330,73,99,99,99,99,99,99,-,99,-,99,-,2,178,82,100,28,1.0,0.8,"16,730",100,98,100,Yes,Yes,3,4,-,-
Iceland,370,83,22,3,2,2,1,1,2,12,6,3,8,87,-,97,92,92,92,10,-,92,-,92,-,2,8,90,100,23,0.8,0.8,"67,084",100,99,-,Yes,Yes,4,3,-,-
India,"1,407,564","438,164","115,307",30,31,25,19,4,12,"709,366","441,801","100,307","286,482",61,84,88,85,85,89,82,85,85,83,25,90,6,"149,611",-,42,52,3.6,0.7,"2,100",90,71,53,Yes,No,5,5,-,-
Indonesia,"273,753","83,188","22,414",24,20,19,11,5,9,"100,012","50,931","22,469","41,163",59,81,74,67,68,72,50,67,67,-,1,83,7,"29,806",5,28,38,1.7,0.7,"4,136",92,86,66,No,Yes,4,3,46,51
Iran (Islamic Republic of),"87,923","24,425","6,896",13,12,11,8,3,7,"15,806","9,719","4,456","8,746",77,99,98,98,98,99,98,98,98,-,-,97,6,"7,300",-,13,41,1.9,0.7,"5,550",97,90,-,Yes,Yes,10,18,96,92
Iraq,"43,534","19,352","5,691",27,22,21,14,5,12,"28,890","16,772","5,673","14,091",55,94,89,78,78,75,84,78,78,41,0,73,7,"6,234",-,-,41,2.0,0.8,"5,955",98,100,66,Yes,No,10,31,26,20
Ireland,"4,987","1,189",305,3,3,3,2,1,3,187,121,41,148,83,0,98,94,94,90,-,93,93,91,85,-,1,78,71,100,28,1.0,0.7,"78,779",97,91,-,Yes,Yes,5,5,95,95
Israel,"8,900","2,930",890,4,3,3,2,1,3,589,302,126,480,84,-,99,98,98,99,93,96,98,80,95,-,2,217,55,100,35,1.4,0.7,"43,589",100,100,100,Yes,No,4,4,92,94
Italy,"59,240","9,203","2,161",3,2,2,1,1,2,"1,081",604,333,915,83,-,94,94,94,92,86,94,94,63,91,-,1,661,-,100,33,1.3,0.7,"33,226",100,100,100,Yes,Yes,9,11,96,92
